,NAME,LATITUDE,LONGITUDE,hov_txt,CLOTHING,FOOD,HOUSEHOLD GOODS,HOUSING,TRAINING AND OTHER SERVICES,NOTES,WEBSITE,type,color
0,412 Food Rescue,40.462826,-79.9219374,"6140 Station St, Pittsburgh",,1,,,,,http://www.412foodrescue.org/,FOOD,#ff00ff
1,5480 Black St,40.4694647,-79.9300479,"Black St #5480, Pittsburgh",,1,,,,,https://www.jamesstsensory.org/,FOOD,#ff00ff
2,A Childs Wardrobe and adults too!,40.4322063,-79.9232648,"2200 Murray Ave, Pittsburgh",1,,,,,,http://www.achildswardrobe.com/,CLOTHING,#ff00ff
3,A Giving Heart,40.4199218,-79.9929122,"816 Climax St, Pittsburgh",,,,1,,,http://www.agivingheart.org/,HOUSING,#ff00ff
4,ABC Staffing LLC,40.4383265,-79.9990769,"One Oxford Centre, 301 Grant St Suite 270, Pittsburgh",,,,,1,,https://www.abcstaffingpgh.com/,TRAINING AND OTHER SERVICES,#ff00ff
5,AHEDD,40.427858,-79.9893397,"900 Sarah St #202, Pittsburgh",,,,,1,,http://www.ahedd.org/,TRAINING AND OTHER SERVICES,#ff00ff
6,Abiding Missions,40.422965,-79.99463,"731 Excelsior St, Pittsburgh",,1,,1,,,http://abidingmissions.org/,TRAINING AND OTHER SERVICES,#ff00ff
7,Abraxas Youth & Family Services,40.456914,-79.973602,"2840 Liberty Ave # 300, Pittsburgh",,,,1,,,https://abraxasyfs.com/,TRAINING AND OTHER SERVICES,#ff00ff
8,Action Housing Inc,40.441444,-79.996498,"611 William Penn Pl #800, Pittsburgh",,,,1,,,http://www.actionhousing.org/,TRAINING AND OTHER SERVICES,#ff00ff
9,Aerotek,40.4279305,-79.8112823,"400 Penn Center Blvd Suite 211, Pittsburgh",,,,,1,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh-east?ecid=ls_aero_mozbizlist_160802_123614,TRAINING AND OTHER SERVICES,#ff00ff
10,Aerotek,40.430822,-80.1267224,"8 Penn Center Blvd Suite 101, Pittsburgh",,,,,1,,https://www.aerotek.com/en/locations/united-states/pennsylvania/pittsburgh?ecid=ls_aero_mozbizlist_160802_123613,TRAINING AND OTHER SERVICES,#ff00ff
11,African Healing Garden,40.4637597,-79.9130181,Pittsburgh,,1,,,,,https://www.africanhealinggarden.org/,TRAINING AND OTHER SERVICES,#ff00ff
12,African-American Collection,40.4426031,-79.9541564,"3960 Forbes Ave # 102A, Pittsburgh",,,,,1,,,TRAINING AND OTHER SERVICES,#ff00ff
13,Aldama's Closet,40.4978303,-80.0535446,"481 Dawson Ave, Pittsburgh",1,,,,,,,TRAINING AND OTHER SERVICES,#ff00ff
14,Allegheny Abused Animal Relief Fund,40.4424701,-80.0009554,"625 Liberty Ave, Pittsburgh",,,,1,,,,TRAINING AND OTHER SERVICES,#ff00ff
15,Allegheny Cemetery,40.474972,-79.957413,"4734 Butler St, Pittsburgh",,1,,,,,http://www.alleghenycemetery.com/,TRAINING AND OTHER SERVICES,#ff00ff
